Date,Open,High,Low,Close,Volume,Value
2011-12-19,103.46,104.54,102.36,104.26,18415.0,0.0
2011-12-20,104.34,106.77,103.93,106.68,22921.0,0.0
2011-12-21,107.08,107.7,106.18,106.59,27077.0,0.0
2011-12-22,107.5,108.25,107.32,108.01,9755.0,0.0
2011-12-23,107.89,108.51,107.4,107.77,13121.0,0.0
2011-12-26,108.25,108.49,108.03,108.42,420.0,0.0
2011-12-27,108.12,108.39,107.86,108.17,2819.0,0.0
2011-12-28,109.15,109.22,108.1,108.37,11472.0,0.0
2011-12-29,107.73,107.96,106.9,106.9,12572.0,0.0
2011-12-30,108.13,108.22,106.65,106.85,9715.0,0.0
2012-01-03,107.72,111.47,107.72,111.11,15128.0,0.0
2012-01-04,112.08,113.85,111.3,113.34,27924.0,0.0
2012-01-05,113.64,114.62,113.11,113.11,23254.0,0.0
2012-01-06,112.48,113.64,112.35,112.4,10922.0,0.0
2012-01-09,113.01,113.82,112.4,112.68,8164.0,0.0
2012-01-10,112.92,113.99,112.75,113.19,12223.0,0.0
2012-01-11,112.96,113.75,112.65,113.07,11374.0,0.0
2012-01-12,112.91,115.13,112.84,114.74,11364.0,0.0
2012-01-13,111.4,112.47,109.77,110.38,21534.0,0.0
2012-01-16,110.69,111.65,110.69,111.32,24075.0,0.0
2012-01-17,111.25,112.77,111.25,111.78,30005.0,0.0
2012-01-18,111.5,112.2,110.76,111.07,19686.0,0.0
2012-01-19,110.85,111.75,110.85,111.06,9755.0,0.0
2012-01-20,111.69,112.04,110.72,110.86,9398.0,0.0
2012-01-23,110.11,111.19,109.69,110.98,17093.0,0.0
2012-01-24,110.77,111.09,109.75,109.96,12908.0,0.0
2012-01-25,110.31,110.5,109.4,109.48,15211.0,0.0
2012-01-26,110.63,111.89,109.85,111.51,21982.0,0.0
2012-01-27,110.99,111.62,110.5,111.5,13755.0,0.0
2012-01-30,110.8,111.65,110.56,111.09,12948.0,0.0
2012-01-31,111.0,113.5,111.0,112.38,27364.0,0.0
2012-02-01,111.28,112.6,111.06,112.24,11780.0,0.0
2012-02-02,111.75,112.48,111.45,111.76,13384.0,0.0
2012-02-03,112.25,113.88,111.97,113.74,24889.0,0.0
2012-02-06,114.15,114.85,112.0,114.57,24252.0,0.0
2012-02-07,115.85,117.07,115.6,116.38,27378.0,0.0
2012-02-08,116.17,116.85,116.17,116.6,10878.0,0.0
2012-02-09,117.4,118.54,117.33,118.18,19760.0,0.0
2012-02-10,118.55,118.55,116.3,116.9,15433.0,0.0
2012-02-13,117.8,118.6,117.8,118.16,9685.0,0.0
2012-02-14,117.74,118.28,117.07,117.7,37731.0,0.0
2012-02-15,117.65,119.85,117.65,118.55,40715.0,0.0
2012-02-16,118.85,119.81,118.35,119.65,20331.0,0.0
2012-02-17,120.35,120.66,119.4,119.57,12803.0,0.0
2012-02-20,119.7,121.12,119.7,120.27,10490.0,0.0
2012-02-21,119.93,120.54,119.21,120.43,11779.0,0.0
2012-02-22,121.44,122.18,121.03,122.05,25982.0,0.0
2012-02-24,123.29,124.17,123.29,123.5,33052.0,0.0
2012-02-27,124.9,124.9,123.61,124.13,26515.0,0.0
2012-02-28,124.05,124.05,122.56,123.12,26527.0,0.0
2012-02-29,121.98,123.22,121.72,123.22,14145.0,0.0
2012-03-01,122.82,123.85,122.52,123.69,22492.0,0.0
2012-03-02,126.01,126.01,124.49,124.73,25131.0,0.0
2012-03-05,123.73,124.45,122.67,124.2,25851.0,0.0
2012-03-06,123.79,124.13,121.6,121.94,33202.0,0.0
2012-03-07,122.01,123.2,122.01,122.31,12853.0,0.0
2012-03-11,124.15,125.87,124.15,125.85,1332.0,0.0
2012-03-12,125.39,125.59,124.21,124.75,18247.0,0.0
2012-03-13,125.6,126.17,125.05,125.67,9636.0,0.0
2012-03-14,126.0,126.61,125.53,126.46,19497.0,0.0
2012-03-15,124.78,125.29,120.0,124.5,11601.0,0.0
2012-03-16,122.69,124.56,122.45,124.25,24132.0,0.0
2012-03-19,125.9,126.01,124.82,125.7,18875.0,0.0
2012-03-20,125.35,125.35,123.21,123.62,19053.0,0.0
2012-03-21,124.5,124.59,123.77,124.03,12896.0,0.0
2012-03-22,123.85,123.98,122.33,122.89,22651.0,0.0
2012-03-23,123.23,127.02,123.1,125.11,54841.0,0.0
2012-03-26,125.07,125.87,124.58,125.65,22903.0,0.0
2012-03-27,125.6,126.2,125.12,125.64,30835.0,0.0
