Date,Open,High,Low,Close,Volume,Value
2008-03-19,122.0,122.0,118.9,120.98,372.0,45115.95
2008-03-20,121.99,121.99,119.0,119.0,654.0,78018.85
2008-03-21,119.0,119.0,118.85,119.0,24.0,2853.75
2008-03-24,120.0,120.0,120.0,120.0,1.0,120.0
2008-03-25,120.0,121.0,114.8,119.0,6317.0,755920.5
2008-03-26,121.48,121.5,115.86,121.5,956.0,115132.56
2008-03-27,114.04,118.79,90.03,113.35,12021.0,1400663.81
2008-03-28,95.02,118.0,95.02,114.0,2150.0,243921.81
2008-03-31,114.01,114.01,111.46,111.46,8.0,904.43
2008-04-01,102.08,115.5,102.08,115.5,12.0,1251.8
2008-04-02,114.0,115.0,112.1,115.0,2144.0,243930.12
2008-04-03,113.0,114.0,111.02,112.85,1071.0,121994.89
2008-04-04,115.0,115.0,112.01,112.01,2.0,227.01
2008-04-07,113.26,114.99,113.0,113.8,1651.0,187581.21
2008-04-08,114.5,114.5,110.57,114.5,14.0,1584.44
2008-04-09,103.02,114.0,103.02,113.99,8.0,857.08
2008-04-10,113.5,124.0,105.8,115.5,2558.0,291409.0
2008-04-11,115.0,115.0,114.0,114.0,269.0,30796.0
2008-04-14,117.36,117.36,112.58,115.99,5.0,576.37
2008-04-15,115.0,117.0,115.0,116.0,6989.0,814729.96
2008-04-16,119.0,119.0,119.0,119.0,10170.0,1210230.0
2008-04-17,119.9,121.0,119.5,119.5,1428.0,171669.28
2008-04-18,110.52,124.24,110.52,122.0,4004.0,484726.71
2008-04-21,122.21,123.1,122.21,123.0,7515.0,924388.42
2008-04-22,124.0,128.0,124.0,125.0,8086.0,1011795.0
2008-04-23,126.0,126.0,126.0,126.0,823.0,103698.0
2008-04-24,122.67,122.67,122.5,122.5,9.0,1103.01
2008-04-25,134.99,135.0,125.0,132.0,10757.0,1365258.72
2008-04-28,132.0,132.3,130.5,132.3,5699.0,752808.9
2008-04-29,132.75,137.0,132.75,134.0,2263.0,303723.93
2008-04-30,132.5,136.0,132.5,135.0,349.0,47231.45
2008-05-04,135.4,138.0,135.4,138.0,2466.0,336898.2
2008-05-05,139.59,140.0,134.77,139.01,2743.0,382107.2
2008-05-06,141.78,142.5,139.01,142.5,69.0,9793.28
2008-05-07,144.49,144.5,142.99,142.99,299.0,43103.98
2008-05-08,144.0,145.0,139.89,142.5,0.0,269057.12
2008-05-12,141.5,142.0,141.5,142.0,144.0,20430.5
2008-05-13,142.75,143.4,142.75,143.4,211.0,30147.48
2008-05-14,144.8,144.8,140.0,142.0,1072.0,151967.1
2008-05-15,141.9,141.9,141.9,141.9,2.0,283.8
2008-05-16,141.5,141.7,141.5,141.7,1105.0,156381.3
2008-05-19,142.48,149.24,141.5,149.24,7410.0,1067123.8
2008-05-20,148.0,148.0,143.0,145.0,1502.0,216796.0
2008-05-21,148.0,148.0,142.5,143.09,880.0,127272.75
2008-05-22,143.0,143.0,143.0,143.0,1.0,143.0
2008-05-23,144.85,144.85,142.5,142.5,6.0,857.85
2008-05-26,142.5,142.75,142.5,142.75,926.0,132033.6
2008-05-27,143.5,143.5,142.75,143.4,1238.0,177508.5
2008-05-28,144.6,144.61,144.2,144.2,56.0,8079.61
2008-05-29,144.3,147.0,144.3,147.0,436.0,62985.15
2008-05-30,146.31,148.99,145.0,148.5,11060.0,1625426.87
2008-06-02,148.78,150.0,148.77,149.6,812.0,121797.14
2008-06-03,150.46,150.5,145.0,148.0,1416.0,208320.01
2008-06-04,150.0,151.5,149.0,151.5,5257.0,792384.95
2008-06-05,151.7,199.11,151.7,169.98,13803.0,2247395.69
2008-06-06,200.0,200.0,169.05,173.5,9741.0,1702856.54
2008-06-07,175.0,175.0,165.0,174.15,1432.0,242463.59
2008-06-09,189.15,189.15,146.15,174.45,1783.0,294299.29
2008-06-10,180.0,180.0,168.1,173.94,1991.0,336479.28
2008-06-11,169.51,172.0,167.06,172.0,9685.0,1650492.84
2008-06-16,178.0,178.0,171.01,173.0,2140.0,368396.54
2008-06-17,177.49,177.49,171.5,173.0,1212.0,209432.25
2008-06-18,180.0,180.0,170.0,170.0,2287.0,391635.1
2008-06-19,169.99,172.2,169.0,171.99,829.0,141040.29
2008-06-20,171.0,174.0,169.0,169.0,1105.0,187904.76
2008-06-23,172.95,172.95,163.8,168.75,1669.0,275694.74
2008-06-24,172.5,172.5,158.01,168.99,2842.0,471512.05
2008-06-25,172.25,172.25,163.0,167.5,3387.0,564938.09
2008-06-26,167.28,168.9,166.01,166.01,627.0,104657.91
2008-06-27,166.0,170.6,166.0,170.6,138.0,23297.18
2008-06-30,169.0,169.0,165.0,165.0,640.0,105815.99
2008-07-01,165.0,167.0,164.0,165.0,282.0,46532.0
2008-07-02,164.67,165.5,164.67,165.5,502.0,82830.17
2008-07-03,168.31,168.31,125.25,160.85,4265.0,687002.3
2008-07-04,160.0,161.5,160.0,161.5,809.0,129464.92
2008-07-07,162.0,165.0,162.0,162.0,4579.0,749680.5
2008-07-08,168.8,168.8,162.0,162.0,52.0,8430.8
2008-07-09,160.01,160.01,157.47,160.0,1103.0,173951.0
2008-07-10,155.0,159.0,155.0,159.0,3202.0,496318.0
2008-07-11,159.0,160.0,157.05,157.05,23759.0,3777455.37
2008-07-14,153.0,157.0,153.0,157.0,209.0,31981.0
2008-07-15,152.0,152.0,142.5,142.5,3220.0,470669.8
2008-07-16,143.1,143.1,141.37,141.37,2335.0,333408.05
2008-07-17,148.44,148.44,141.37,148.43,3002.0,445536.81
2008-07-18,141.0,141.0,122.0,137.0,1923.0,266729.21
2008-07-21,147.48,147.48,139.95,144.9,574.0,80422.88
2008-07-22,145.0,145.0,135.0,135.0,5307.0,744581.35
2008-07-23,139.99,170.07,135.0,138.0,703.0,98178.76
2008-07-24,140.0,140.0,128.25,139.0,5864.0,796705.58
2008-07-25,130.01,137.0,87.0,135.0,26301.0,3309698.63
2008-07-28,139.01,153.01,120.01,131.0,30.0,4015.66
2008-07-29,122.0,141.94,121.01,122.5,141.0,18128.99
2008-07-30,125.0,135.12,125.0,135.12,5008.0,651027.56
2008-07-31,141.88,141.88,130.02,135.0,30.0,4000.71
2008-08-01,135.13,136.8,135.13,136.8,6.0,813.35
2008-08-04,139.47,144.99,139.47,140.4,4.0,564.33
2008-08-05,130.02,130.02,120.0,120.1,2038.0,255069.83
2008-08-06,125.0,126.07,121.02,121.1,3131.0,389087.33
2008-08-07,120.1,131.49,120.0,121.01,1369.0,168282.95
2008-08-08,121.01,121.01,117.0,117.02,1041.0,122059.08
2008-08-11,115.0,120.0,107.0,120.0,1432.0,166732.92
2008-08-12,126.0,130.0,126.0,130.0,501.0,63130.0
2008-08-13,130.0,130.0,128.0,130.0,1017.0,131210.0
2008-08-14,131.5,153.99,131.5,133.0,1786.0,241039.27
2008-08-15,133.02,139.99,133.0,139.5,62.0,8437.2
2008-08-18,136.0,145.0,136.0,145.0,3686.0,517475.9
2008-08-19,145.0,145.0,139.0,139.0,109.0,15775.0
2008-08-20,137.0,141.55,137.0,140.0,221.0,31134.3
2008-08-22,134.75,138.0,134.75,137.0,1252.0,172171.75
2008-08-25,138.0,138.0,132.6,134.0,6317.0,842561.5
2008-08-26,132.0,133.0,130.0,133.0,688.0,90439.6
2008-08-27,131.51,131.51,105.0,130.0,751.0,93440.43
2008-08-28,132.5,132.5,131.5,132.5,1505.0,198839.8
2008-08-29,133.0,133.0,133.0,133.0,3.0,399.0
2008-09-01,133.25,133.25,130.0,130.0,790.0,103057.5
2008-09-02,130.0,132.0,130.0,132.0,18.0,2360.0
2008-09-03,132.0,134.0,129.0,130.0,3338.0,434488.74
2008-09-04,131.0,131.0,128.5,131.0,257.0,33362.0
2008-09-05,130.0,130.01,120.0,130.01,2311.0,293020.65
2008-09-08,131.98,131.98,130.0,131.0,464.0,60781.2
2008-09-09,130.0,130.0,117.2,127.99,520.0,66720.08
2008-09-10,125.0,127.99,117.0,117.0,33.0,3940.97
2008-09-11,121.8,123.0,90.0,111.0,26577.0,3151583.55
2008-09-12,116.0,116.0,80.0,114.5,177.0,17313.26
2008-09-15,114.99,115.0,107.3,107.5,33.0,3625.89
2008-09-16,109.0,110.0,73.0,98.58,2886.0,273194.07
2008-09-17,100.0,121.0,95.0,95.0,556.0,61909.98
2008-09-19,105.0,130.44,99.0,119.0,2848.0,291364.75
2008-09-22,110.0,110.0,100.0,105.0,4245.0,445790.1
2008-09-23,105.0,105.0,99.45,102.0,1066.0,106079.2
2008-09-24,102.0,110.0,102.0,105.0,7029.0,743118.0
2008-09-25,105.0,105.0,104.0,105.0,8311.0,864474.0
2008-09-26,103.11,110.0,103.11,110.0,2200.0,231037.5
2008-09-29,103.0,103.0,102.0,102.0,1100.0,113250.0
2008-09-30,102.0,115.0,100.02,105.0,4796.0,535032.82
2008-10-01,110.0,110.0,99.99,102.0,4037.0,422785.3
2008-10-02,100.42,100.42,99.0,99.0,1011.0,101509.0
2008-10-03,100.0,100.0,98.0,98.0,530.0,52016.4
2008-10-06,91.0,93.0,80.0,80.0,9359.0,764839.4
2008-10-07,82.0,84.0,68.0,83.99,2176.0,159127.09
2008-10-08,65.0,65.0,65.0,65.0,2.0,130.0
2008-10-09,79.99,80.0,79.99,80.0,10.0,799.91
2008-10-13,75.0,82.0,75.0,80.0,16042.0,1264672.0
2008-10-14,80.7,80.7,79.99,80.7,2305.0,184962.79
2008-10-15,75.0,76.0,75.0,76.0,3474.0,260564.0
2008-10-16,67.0,72.0,62.58,62.58,2239.0,149812.59
2008-10-17,70.0,70.0,58.0,60.0,21871.0,1305367.73
2008-10-20,62.0,63.75,55.0,57.0,41421.0,2430350.32
2008-10-21,60.0,62.5,50.01,59.99,5122.0,307579.9
2008-10-22,57.21,59.5,50.0,52.0,12046.0,641421.52
2008-10-23,51.27,51.27,40.11,40.11,5.0,234.05
2008-10-28,44.12,47.93,39.98,40.86,634.0,25717.53
2008-10-29,45.0,45.0,35.0,38.32,1130.0,45196.59
2008-10-30,39.99,41.0,34.0,36.0,8897.0,321968.82
2008-10-31,37.0,37.0,31.42,35.0,61433.0,1976693.44
2008-11-01,33.0,33.0,27.55,33.0,1380.0,43303.85
2008-11-05,40.0,40.0,33.0,34.0,3416.0,114032.29
2008-11-06,34.0,34.0,31.5,32.0,976.0,31466.74
2008-11-07,33.0,36.4,28.0,33.0,5900.0,191734.25
2008-11-10,33.0,35.4,31.8,34.4,11579.0,384476.76
2008-11-11,34.99,36.0,33.55,36.0,4704.0,162081.39
2008-11-13,32.5,34.0,31.55,32.99,4270.0,142107.15
2008-11-14,34.0,34.0,32.55,33.0,889.0,29426.0
2008-11-17,32.45,33.0,32.45,33.0,210.0,6927.25
2008-11-18,31.55,32.0,27.55,31.99,3397.0,102878.63
2008-11-19,31.05,31.3,30.0,31.3,8038.0,248190.2
2008-11-21,33.99,33.99,29.85,30.05,174.0,5228.44
2008-11-24,31.05,31.05,29.9,30.5,21105.0,631314.25
2008-11-25,31.0,31.0,30.05,30.25,291.0,8786.5
2008-11-26,30.05,30.5,29.05,30.5,89.0,2646.9
2008-11-27,30.07,31.99,30.06,30.5,1355.0,41322.04
2008-11-28,30.51,37.39,30.51,36.0,90766.0,3115388.71
2008-12-01,33.3,33.65,33.3,33.65,20.0,669.5
2008-12-02,32.3,32.3,32.3,32.3,21.0,678.3
2008-12-03,32.32,35.01,32.32,34.0,10380.0,353564.84
2008-12-04,34.9,34.9,34.9,34.9,10.0,349.0
2008-12-05,34.0,34.0,34.0,34.0,155.0,5270.0
2008-12-08,34.83,36.0,34.03,34.03,27.0,940.25
2008-12-09,35.16,35.16,35.16,35.16,10.0,351.6
2008-12-10,34.34,34.34,33.55,33.55,10.0,341.03
