Date,Open,High,Low,Close,Volume,Value
2004-02-11,144.01,144.6,143.3,144.0,15086.0,2171688.1
2004-02-12,149.0,149.0,146.0,147.5,17263.0,2537712.46
2004-02-13,147.9,149.0,146.5,147.0,17914.0,2655642.33
2004-02-16,149.0,149.0,146.55,147.0,7781.0,1144155.8
2004-02-17,146.6,152.0,146.6,151.0,52407.0,7786970.93
2004-02-18,153.01,155.0,148.0,149.99,83766.0,12750284.26
2004-02-19,149.99,149.99,147.0,149.0,10395.0,1545599.75
2004-02-20,151.0,152.5,149.5,150.0,20885.0,3155766.56
2004-02-24,148.5,148.5,143.0,145.0,133089.0,19416419.84
2004-02-25,149.0,149.0,145.0,146.99,3704.0,544797.7
2004-02-26,147.0,149.5,145.6,146.0,30135.0,4424379.98
2004-02-27,149.35,149.35,146.0,147.5,46923.0,6931773.01
2004-03-01,148.39,151.0,147.1,150.8,16946.0,2517973.34
2004-03-02,152.5,152.6,149.0,150.5,17762.0,2670811.94
2004-03-03,147.5,150.5,147.5,150.0,8746.0,1295145.86
2004-03-04,150.3,152.0,148.5,152.0,14911.0,2251096.42
2004-03-05,153.32,158.0,153.32,156.0,37319.0,5779297.86
2004-03-09,157.48,159.0,155.0,157.89,12457.0,1954760.16
2004-03-10,158.95,158.95,154.0,155.0,13382.0,2079752.25
2004-03-11,151.0,153.95,150.0,152.99,20005.0,3029295.4
2004-03-12,150.33,154.0,150.0,151.2,13032.0,1983233.0
2004-03-15,150.0,154.97,149.0,149.0,20544.0,3120145.71
2004-03-16,150.0,152.4,148.0,152.0,15731.0,2353592.66
2004-03-17,152.5,156.0,152.5,155.99,26920.0,4169807.76
2004-03-18,157.0,163.0,156.0,162.5,49353.0,7870006.95
2004-03-19,162.0,162.0,159.0,159.1,13639.0,2190913.13
2004-03-22,162.0,163.9,159.01,160.0,2433.0,390676.02
2004-03-23,160.5,160.99,158.0,160.99,8384.0,1337763.19
2004-03-24,160.1,163.0,160.0,160.0,22448.0,3608044.94
2004-03-25,160.0,161.0,158.53,161.0,13738.0,2191246.7
2004-03-26,162.55,175.0,162.55,171.95,74365.0,12761842.2
2004-03-29,172.0,176.9,170.0,176.0,23391.0,4087918.29
2004-03-30,178.0,181.0,173.52,179.0,24600.0,4397018.48
2004-03-31,180.5,180.5,177.0,177.2,15613.0,2792373.2
2004-04-01,179.05,189.0,178.9,188.0,32825.0,6029760.11
2004-04-02,192.5,192.5,188.0,191.01,19196.0,3636783.39
2004-04-05,193.0,195.97,189.2,191.0,24593.0,4712325.47
2004-04-06,193.0,198.5,191.0,191.21,31970.0,6215344.17
2004-04-07,191.3,195.0,189.0,190.5,21865.0,4238241.98
2004-04-08,189.5,192.63,185.0,192.63,51733.0,9818185.06
2004-04-09,192.87,194.0,174.0,191.81,16645.0,3179376.69
2004-04-12,191.5,196.99,191.5,196.99,9929.0,1935789.74
2004-04-13,196.0,196.0,188.1,190.0,16566.0,3162996.81
2004-04-14,190.0,191.98,185.0,186.98,19364.0,3638777.15
2004-04-15,185.0,187.0,180.5,186.5,18361.0,3403606.49
2004-04-16,187.0,190.0,184.0,186.0,7277.0,1357820.24
2004-04-19,185.0,189.0,184.6,189.0,9559.0,1796798.44
2004-04-20,189.0,191.5,189.0,189.0,3862.0,732550.0
2004-04-21,188.0,188.0,180.0,185.0,22100.0,4056520.32
2004-04-22,184.97,187.0,177.5,177.5,14954.0,2683071.51
2004-04-23,177.5,185.0,177.5,182.01,3959.0,720265.04
2004-04-26,183.99,185.0,179.0,179.0,63448.0,11611079.75
2004-04-27,178.0,179.9,171.0,176.0,45672.0,7996465.68
2004-04-28,176.0,178.0,171.02,172.99,33633.0,5903304.75
2004-04-29,173.99,177.0,161.0,166.5,11383.0,1876437.93
2004-04-30,161.25,167.0,160.0,167.0,3758.0,617385.88
2004-05-05,169.0,186.99,165.5,170.0,15748.0,2740510.39
2004-05-06,170.2,170.2,161.5,163.99,16537.0,2738605.61
2004-05-07,161.3,161.3,150.0,155.05,16389.0,2547625.59
2004-05-11,150.0,154.5,145.0,154.0,7546.0,1134661.61
2004-05-12,155.0,160.99,155.0,159.4,23062.0,3678611.66
2004-05-13,159.4,165.0,155.01,160.0,12209.0,1961397.03
2004-05-14,162.0,164.0,158.3,160.0,9469.0,1522646.18
2004-05-17,160.0,170.0,160.0,163.98,40010.0,6570558.45
2004-05-18,164.0,168.0,163.0,165.5,7896.0,1300286.55
2004-05-19,169.95,174.0,168.1,173.0,19254.0,3276127.22
2004-05-20,172.0,174.99,167.81,169.49,17020.0,2896984.73
2004-05-21,168.0,170.44,167.01,168.0,16487.0,2778715.51
2004-05-24,172.5,177.0,171.1,176.0,9482.0,1655005.96
2004-05-25,175.0,175.0,168.0,170.0,16769.0,2872161.11
2004-05-26,174.11,179.5,174.11,178.0,38654.0,6800068.57
2004-05-27,179.5,179.5,172.7,175.0,10581.0,1856524.23
2004-05-28,172.51,175.0,169.0,169.0,7441.0,1293534.28
2004-05-31,168.0,170.52,163.0,170.0,2931.0,496961.33
2004-06-01,169.0,169.0,166.0,168.5,5371.0,896089.64
2004-06-02,168.9,175.0,168.9,175.0,1883.0,325788.15
2004-06-03,175.0,179.0,170.0,171.0,30695.0,5278094.85
2004-06-04,169.0,170.5,166.03,168.0,15858.0,2679071.01
2004-06-07,173.0,174.5,168.9,174.5,15259.0,2631178.65
2004-06-08,174.7,177.0,174.7,177.0,11237.0,1973488.89
2004-06-09,175.01,178.89,169.5,170.0,15973.0,2776182.16
2004-06-10,168.1,170.9,166.1,167.9,12449.0,2099878.8
2004-06-11,168.5,170.5,168.0,168.5,13964.0,2370541.9
2004-06-15,169.11,169.11,162.65,164.99,6661.0,1095423.8
2004-06-16,169.0,169.0,161.0,165.01,64831.0,10743668.12
2004-06-17,166.5,174.1,165.2,174.1,12044.0,2053639.98
2004-06-18,176.05,179.99,175.0,179.0,57004.0,10163219.96
2004-06-21,179.7,183.0,177.0,178.01,24723.0,4497779.85
2004-06-22,177.1,180.0,175.01,177.0,6841.0,1212344.3
2004-06-23,176.95,178.5,175.5,176.5,3549.0,629550.79
2004-06-24,176.6,180.99,176.6,180.0,6088.0,1094415.66
2004-06-25,180.0,180.99,177.6,180.0,8205.0,1463369.43
2004-06-28,182.0,182.0,176.8,180.0,6611.0,1174875.07
2004-06-29,175.0,178.89,175.0,175.0,3926.0,691408.31
2004-06-30,175.7,179.9,173.2,179.9,9150.0,1619913.23
2004-07-01,179.4,182.7,170.0,175.0,37697.0,6804327.37
2004-07-02,172.9,172.9,170.0,172.5,12100.0,2070881.43
2004-07-05,173.0,174.98,171.0,172.5,1929.0,331706.51
2004-07-06,174.99,174.99,170.0,172.0,3827.0,658005.22
2004-07-07,170.08,174.89,170.0,170.1,50743.0,8626643.92
2004-07-08,173.99,173.99,171.0,172.0,1395.0,240424.04
2004-07-09,169.5,169.5,166.03,167.97,6245.0,1051424.2
