Date,Open,High,Low,Close,Volume,Value
2011-07-18,13469.0,13469.0,11350.0,13400.0,104.0,1293640.0
2011-07-19,12201.0,12202.0,12102.0,12202.0,12.0,145926.0
2011-07-20,12100.0,12500.0,11975.0,11975.0,72.0,871036.0
2011-07-21,11975.0,12700.0,11975.0,12050.0,426.0,5176084.0
2011-07-22,12499.0,12499.0,12010.0,12400.0,338.0,4126295.0
2011-07-25,12750.0,12750.0,12500.0,12500.0,49.0,616750.0
2011-07-26,12600.0,12600.0,12201.0,12201.0,14.0,173402.0
2011-07-27,12250.0,12250.0,11950.0,11950.0,340.0,4110254.0
2011-07-28,12000.0,12000.0,11950.0,12000.0,39.0,467650.0
2011-07-29,12000.0,12000.0,11921.0,11921.0,8.0,95843.0
2011-08-01,12000.0,12000.0,11752.0,11800.0,131.0,1552550.0
2011-08-02,11949.0,11950.0,11949.0,11950.0,25.0,298747.0
2011-08-03,11700.0,11700.0,11580.0,11580.0,41.0,478282.0
2011-08-04,11600.0,11600.0,11600.0,11600.0,3.0,34800.0
2011-08-05,11302.0,11600.0,11201.0,11400.0,71.0,814404.0
2011-08-08,11400.0,11400.0,11075.0,11075.0,4.0,44975.0
2011-08-09,10879.0,10888.0,10000.0,10555.0,46.0,484540.0
2011-08-10,10755.0,10755.0,10350.0,10350.0,41.0,431475.0
2011-08-11,10600.0,10600.0,9500.0,10500.0,261.0,2622690.0
2011-08-12,10300.0,10557.0,10300.0,10557.0,99.0,1031928.0
2011-08-15,10300.0,10600.0,10300.0,10400.0,60.0,632534.0
2011-08-16,10225.0,10300.0,10200.0,10200.0,13.0,133039.0
2011-08-17,10150.0,10300.0,10150.0,10300.0,334.0,3439450.0
2011-08-18,10300.0,10450.0,10200.0,10200.0,45.0,461550.0
2011-08-19,10500.0,10500.0,10400.0,10400.0,22.0,230900.0
2011-08-22,10399.0,10699.0,9900.0,9950.0,43.0,436176.0
2011-08-23,10689.0,10690.0,10058.0,10071.0,66.0,679471.0
2011-08-24,10001.0,10392.0,9995.0,10197.0,47.0,475562.0
2011-08-25,9901.0,10200.0,9901.0,10001.0,435.0,4356135.0
2011-08-26,9801.0,11000.0,9750.0,10496.0,1018.0,10286315.0
2011-08-29,10500.0,11490.0,10100.0,10937.0,2061.0,21699731.0
2011-08-30,10998.0,11187.0,10321.0,10547.0,581.0,6181675.0
2011-08-31,10697.0,11200.0,10549.0,11000.0,212.0,2279769.0
2011-09-01,11148.0,11150.0,10803.0,10950.0,93.0,1013191.0
2011-09-02,11480.0,11500.0,10954.0,10954.0,60.0,664865.0
2011-09-05,10555.0,11480.0,10555.0,11111.0,170.0,1918407.0
2011-09-06,11475.0,11475.0,11100.0,11200.0,183.0,2053207.0
2011-09-07,11312.0,12350.0,11309.0,12350.0,225.0,2640273.0
2011-09-08,12298.0,12300.0,11810.0,12300.0,62.0,754900.0
2011-09-09,11774.0,12300.0,11701.0,12000.0,331.0,3980757.0
2011-09-12,11509.0,11651.0,11500.0,11500.0,42.0,484659.0
2011-09-13,11511.0,11901.0,11501.0,11600.0,30.0,348925.0
2011-09-14,11700.0,11800.0,11699.0,11800.0,29.0,341387.0
2011-09-15,11750.0,12000.0,11750.0,12000.0,346.0,4117142.0
2011-09-16,12199.0,12300.0,11845.0,12300.0,692.0,8318641.0
2011-09-19,12200.0,12250.0,12001.0,12006.0,68.0,830810.0
2011-09-20,12003.0,12350.0,12003.0,12350.0,366.0,4513272.0
2011-09-21,12350.0,12500.0,12200.0,12450.0,266.0,3309496.0
2011-09-22,11700.0,12195.0,10350.0,11325.0,359.0,4250150.0
2011-09-23,11887.0,11887.0,10510.0,10899.0,240.0,2620126.0
2011-09-26,10886.0,11550.0,10400.0,11500.0,188.0,2015803.0
2011-09-27,11890.0,12246.0,11500.0,11500.0,76.0,886972.0
2011-09-28,11240.0,11535.0,11145.0,11145.0,137.0,1537740.0
2011-09-29,10806.0,11895.0,10806.0,11895.0,123.0,1383714.0
2011-09-30,11894.0,11895.0,10876.0,11683.0,69.0,784260.0
2011-10-03,10601.0,11499.0,10600.0,11300.0,83.0,922368.0
2011-10-04,11075.0,11075.0,10250.0,10250.0,57.0,614363.0
2011-10-05,11249.0,12246.0,9791.0,10000.0,168.0,1706550.0
2011-10-06,11000.0,12500.0,10350.0,10699.0,254.0,2765640.0
2011-10-07,10700.0,11071.0,10400.0,11000.0,253.0,2702777.0
2011-10-10,11100.0,11225.0,10402.0,11124.0,241.0,2658052.0
2011-10-11,10851.0,11002.0,10700.0,10700.0,76.0,832716.0
2011-10-12,11000.0,11100.0,10402.0,11000.0,788.0,8563485.0
2011-10-13,10827.0,11100.0,10730.0,11000.0,192.0,2086201.0
2011-10-14,10999.0,11021.0,10791.0,11021.0,126.0,1386971.0
2011-10-17,10951.0,11024.0,10824.0,10824.0,122.0,1339057.0
2011-10-18,10989.0,11383.0,10550.0,11383.0,134.0,1485445.0
2011-10-19,11401.0,11401.0,10961.0,11000.0,457.0,5047591.0
2011-10-20,11000.0,11001.0,10950.0,10950.0,403.0,4414952.0
2011-10-21,11000.0,11200.0,10990.0,11075.0,1387.0,15337391.0
2011-10-24,11347.0,11379.0,10931.0,11094.0,409.0,4512608.0
2011-10-25,11295.0,11295.0,10990.0,11000.0,1029.0,11379243.0
2011-10-26,10700.0,11199.0,10700.0,11140.0,511.0,5636517.0
2011-10-27,10900.0,11300.0,10815.0,11189.0,1926.0,21290237.0
2011-10-28,10952.0,11299.0,10952.0,11299.0,314.0,3501122.0
2011-10-31,11101.0,11344.0,11000.0,11256.0,127.0,1418260.0
2011-11-01,11387.0,11494.0,11182.0,11252.0,257.0,2928539.0
2011-11-02,11250.0,11477.0,11250.0,11300.0,36.0,406260.0
2011-11-03,11049.0,11496.0,11048.0,11114.0,161.0,1804616.0
2011-11-07,11148.0,11252.0,11125.0,11150.0,9.0,100554.0
2011-11-08,11151.0,11200.0,11028.0,11029.0,91.0,1012368.0
2011-11-09,11101.0,11150.0,10816.0,10816.0,252.0,2770552.0
2011-11-10,10954.0,11100.0,10800.0,11000.0,221.0,2422557.0
2011-11-11,11000.0,11061.0,10830.0,10900.0,251.0,2726696.0
2011-11-14,11197.0,11199.0,10730.0,10898.0,104.0,1126869.0
2011-11-15,10980.0,11099.0,10928.0,10928.0,70.0,769182.0
2011-11-16,10990.0,11000.0,10720.0,10888.0,263.0,2860371.0
2011-11-17,10017.0,10900.0,10017.0,10773.0,119.0,1276329.0
2011-11-18,10501.0,10688.0,10400.0,10595.0,89.0,945681.0
2011-11-21,10501.0,10501.0,10200.0,10300.0,209.0,2160107.0
2011-11-22,10251.0,10716.0,10101.0,10377.0,298.0,3079078.0
2011-11-23,10188.0,10236.0,10100.0,10100.0,43.0,436770.0
2011-11-24,10194.0,10195.0,10000.0,10000.0,141.0,1420057.0
2011-11-25,9999.0,10000.0,9448.0,9724.0,274.0,2656215.0
2011-11-28,9800.0,9915.0,9600.0,9850.0,302.0,2929231.0
2011-11-29,9914.0,9915.0,9589.0,9784.0,154.0,1505860.0
2011-11-30,9709.0,9890.0,9671.0,9750.0,668.0,6513090.0
2011-12-01,9849.0,10000.0,9635.0,9635.0,177.0,1733726.0
2011-12-02,9767.0,9767.0,9200.0,9450.0,467.0,4448447.0
2011-12-05,9302.0,9667.0,9301.0,9500.0,149.0,1421017.0
2011-12-06,9352.0,9400.0,9139.0,9201.0,95.0,878950.0
2011-12-07,9070.0,9200.0,8900.0,9000.0,519.0,4694415.0
2011-12-08,9109.0,9563.0,9050.0,9198.0,334.0,3117850.0
2011-12-09,9000.0,9532.0,8999.0,9500.0,800.0,7545026.0
2011-12-12,9136.0,9200.0,8997.0,8997.0,249.0,2256271.0
2011-12-13,8815.0,9049.0,8700.0,9000.0,91.0,808013.0
2011-12-14,8861.0,8861.0,8415.0,8570.0,402.0,3451376.0
2011-12-15,8650.0,8929.0,8222.0,8400.0,885.0,7580117.0
2011-12-16,8400.0,8498.0,8201.0,8390.0,224.0,1865210.0
2011-12-19,8250.0,8260.0,8125.0,8201.0,44.0,362755.0
2011-12-20,8121.0,8299.0,8120.0,8200.0,63.0,515095.0
2011-12-21,8449.0,8538.0,8250.0,8250.0,40.0,335219.0
2011-12-22,8449.0,8449.0,8150.0,8150.0,69.0,568744.0
2011-12-23,8149.0,8161.0,7999.0,8000.0,147.0,1178732.0
2011-12-26,8199.0,8299.0,8001.0,8100.0,70.0,566436.0
2011-12-27,8080.0,8100.0,8050.0,8050.0,41.0,331110.0
2011-12-28,8002.0,8002.0,7797.0,7803.0,104.0,814906.0
2011-12-29,7851.0,7894.0,7700.0,7894.0,53.0,415653.0
2011-12-30,7758.0,8197.0,7750.0,8197.0,84.0,663574.0
2012-01-03,8300.0,8500.0,8150.0,8500.0,75.0,633272.0
2012-01-04,8350.0,8350.0,8203.0,8203.0,38.0,317153.0
2012-01-05,8300.0,8300.0,8100.0,8100.0,55.0,446951.0
2012-01-06,8100.0,8400.0,8100.0,8400.0,43.0,351550.0
2012-01-09,8500.0,8500.0,8102.0,8102.0,18.0,147584.0
2012-01-10,8123.0,8450.0,8123.0,8385.0,117.0,987299.0
2012-01-11,8400.0,8410.0,8290.0,8290.0,58.0,481225.0
2012-01-12,8101.0,8398.0,8101.0,8200.0,70.0,576015.0
2012-01-13,8120.0,8201.0,8120.0,8120.0,90.0,733646.0
2012-01-16,8200.0,8398.0,8170.0,8251.0,56.0,463104.0
2012-01-17,8459.0,8459.0,8220.0,8300.0,137.0,1135758.0
2012-01-18,8180.0,8200.0,8155.0,8165.0,24.0,196276.0
2012-01-19,8185.0,8225.0,8122.0,8200.0,35.0,285936.0
2012-01-20,8350.0,8570.0,8350.0,8500.0,175.0,1482847.0
2012-01-23,8499.0,8600.0,8310.0,8350.0,670.0,5703772.0
2012-01-24,8420.0,8450.0,8320.0,8390.0,686.0,5792008.0
2012-01-25,8598.0,8698.0,8450.0,8698.0,360.0,3084711.0
2012-01-26,8698.0,8900.0,8551.0,8702.0,401.0,3490659.0
2012-01-27,8839.0,8839.0,8500.0,8650.0,331.0,2864444.0
2012-01-30,8515.0,8642.0,8420.0,8420.0,52.0,442712.0
2012-01-31,8402.0,8692.0,8352.0,8601.0,107.0,911710.0
2012-02-01,8600.0,8880.0,8600.0,8680.0,196.0,1708816.0
2012-02-02,8745.0,8999.0,8730.0,8800.0,229.0,2020709.0
2012-02-03,8650.0,8988.0,8650.0,8800.0,204.0,1803499.0
2012-02-06,8800.0,9137.0,8721.0,8926.0,490.0,4331761.0
2012-02-07,8926.0,9748.0,8926.0,9200.0,499.0,4608814.0
2012-02-08,9208.0,9398.0,9208.0,9300.0,531.0,4939746.0
2012-02-09,9251.0,9525.0,9250.0,9350.0,271.0,2519897.0
2012-02-10,9250.0,9251.0,9111.0,9200.0,407.0,3753587.0
2012-02-13,9200.0,9700.0,9150.0,9657.0,249.0,2357138.0
2012-02-14,9650.0,10099.0,9650.0,9871.0,638.0,6288669.0
2012-02-15,10000.0,10250.0,9952.0,10013.0,336.0,3387707.0
