Date,Open,High,Low,Close,Volume,Value
2007-07-20,109.0,111.11,108.01,109.2,20252489.0,2211623351.09
2007-07-23,109.7,112.65,108.1,112.0,35092029.0,3901828829.37
2007-07-24,112.1,113.05,109.47,109.53,31762001.0,3536964241.26
2007-07-25,108.5,109.98,107.1,109.63,39700937.0,4300852581.85
2007-07-26,110.0,110.42,103.3,104.18,49871205.0,5299122987.79
2007-07-27,102.0,103.83,100.81,102.41,53701139.0,5496358261.76
2007-07-30,102.65,104.29,100.33,102.0,30588468.0,3127256513.56
2007-07-31,103.62,105.64,102.9,105.5,33104685.0,3455744284.02
2007-08-01,102.78,102.91,101.55,101.59,36540554.0,3730892907.57
2007-08-02,102.54,103.36,101.78,102.3,21543291.0,2206814948.15
2007-08-03,103.0,103.53,101.91,102.28,28804333.0,2957788059.11
2007-08-06,100.53,101.41,99.98,100.54,28262733.0,2840126697.84
2007-08-07,101.59,102.5,99.98,100.65,25686257.0,2610578746.74
2007-08-08,101.69,102.91,101.65,102.8,33687905.0,3447126048.47
2007-08-09,103.57,103.89,98.77,99.57,50632563.0,5105188334.61
2007-08-10,97.6,97.99,94.31,95.55,73831375.0,7104454578.56
2007-08-13,96.68,97.8,95.55,97.39,38498696.0,3728081689.45
2007-08-14,96.2,97.37,96.0,96.85,19560275.0,1892126111.29
2007-08-15,95.07,95.28,93.23,94.5,29370438.0,2770473742.05
2007-08-16,92.5,92.55,89.52,90.51,65443811.0,5954946076.35
2007-08-17,90.51,95.18,88.31,94.8,110926448.0,10121205236.73
2007-08-20,95.25,96.44,93.1,93.19,41541526.0,3947082162.1
2007-08-21,94.35,94.4,89.6,91.4,65782084.0,6015745531.99
2007-08-22,91.57,93.8,90.55,93.6,43932753.0,4073215553.82
2007-08-23,94.89,96.08,93.51,94.27,61299120.0,5824923346.29
2007-08-24,93.3,94.3,92.26,93.81,36066126.0,3360888795.29
2007-08-27,95.19,95.6,94.0,95.11,36756341.0,3492456176.25
2007-08-28,94.9,95.08,93.71,94.4,28495785.0,2692699805.39
2007-08-29,92.15,94.4,92.01,93.94,34123232.0,3187049712.01
2007-08-30,95.0,96.0,94.21,94.3,37770842.0,3594002768.29
2007-08-31,95.5,97.73,95.05,97.39,47178848.0,4556601111.87
2007-09-03,97.8,98.97,97.12,98.0,34359858.0,3376020958.24
2007-09-04,97.99,98.25,96.75,97.2,23584547.0,2294740022.22
2007-09-05,97.51,97.8,94.9,95.0,33637329.0,3232834034.05
2007-09-06,95.04,97.1,95.04,96.51,36591090.0,3511884822.83
2007-09-07,96.5,96.6,93.4,94.2,39220174.0,3717264608.16
2007-09-10,93.8,94.89,93.2,94.09,28743056.0,2708616618.31
2007-09-11,94.77,94.96,94.16,94.92,12315459.0,1165614850.9
2007-09-12,95.18,95.44,93.65,94.2,20299133.0,1914120416.19
2007-09-13,94.73,96.6,94.11,96.33,26802375.0,2553816288.73
2007-09-14,96.5,96.85,95.65,96.1,30271899.0,2909531399.45
2007-09-17,96.01,96.19,94.6,94.87,22013422.0,2095329523.66
2007-09-18,94.6,98.06,94.5,97.4,37470457.0,3613222962.12
2007-09-19,99.9,103.8,99.8,103.77,119839393.0,12221006492.63
2007-09-20,103.01,103.29,100.85,102.3,65159209.0,6646407636.92
2007-09-21,101.54,102.7,101.52,101.83,46159883.0,4708551052.8
2007-09-24,102.0,103.55,101.5,101.85,46799069.0,4802709246.97
