Date,Open,High,Low,Close,Tick_Volume
2000-01-18,373.0,382.0,360.1,360.1,80639.0
2000-01-19,361.0,362.0,344.6,350.1,48016.0
2000-01-20,354.0,364.5,354.0,364.5,45218.0
2000-01-21,364.0,378.7,364.0,372.1,43271.0
2000-01-24,376.0,383.0,350.1,351.1,51614.0
2000-01-25,345.0,347.0,332.1,337.1,53678.0
2000-01-26,340.0,344.0,330.1,342.0,60202.0
2000-01-27,347.0,347.0,338.2,345.1,37467.0
2000-01-28,347.0,348.0,327.6,332.9,42055.0
2000-01-31,315.0,323.0,310.1,315.0,68629.0
2000-02-01,319.0,328.5,311.2,315.1,70539.0
2000-02-02,325.0,325.5,304.1,316.4,123331.0
2000-02-03,320.0,329.5,317.1,326.0,57125.0
2000-02-04,335.0,337.0,330.1,333.0,85244.0
2000-02-07,337.0,342.0,326.1,329.1,47852.0
2000-02-08,331.5,349.0,331.5,349.0,115564.0
2000-02-09,358.5,362.5,347.1,347.1,4351008.0
2000-02-10,342.0,352.0,341.1,344.8,181849.0
2000-02-11,350.0,351.0,337.1,340.6,146276.0
2000-02-14,354.0,360.0,335.1,338.1,254603.0
2000-02-15,339.0,339.0,321.1,321.1,73340.0
2000-02-16,327.0,330.4,318.1,320.9,286012.0
2000-02-17,315.0,329.0,313.1,322.6,244507.0
2000-02-18,323.0,326.0,319.1,321.9,151991.0
2000-02-21,302.0,316.0,302.0,315.7,37370.0
2000-02-22,311.0,320.0,307.1,320.0,50769.0
2000-02-23,319.0,324.9,317.1,321.0,86600.0
2000-02-24,324.0,329.6,321.6,323.8,109953.0
2000-02-25,320.0,320.0,302.1,305.1,171824.0
2000-02-28,305.0,320.0,287.1,290.5,151852.0
2000-02-29,293.5,299.0,288.1,296.5,154863.0
2000-03-01,302.0,318.0,300.1,316.5,3378156.0
2000-03-02,323.5,326.0,312.1,323.4,132652.0
2000-03-03,322.5,335.0,322.1,332.9,200355.0
2000-03-06,336.0,339.0,325.1,328.2,140492.0
2000-03-07,327.0,343.0,322.4,341.9,190108.0
2000-03-09,355.5,370.7,347.1,367.5,261677.0
2000-03-10,375.0,394.0,369.1,384.5,251395.0
2000-03-13,377.0,385.0,357.4,360.1,177810.0
2000-03-14,372.0,396.0,372.0,393.7,259052.0
2000-03-15,387.0,397.4,381.3,391.0,218037.0
2000-03-16,396.0,397.0,389.1,394.1,142767.0
2000-03-17,401.5,405.0,392.6,397.1,246387.0
2000-03-20,397.0,397.0,386.3,388.9,85627.0
2000-03-21,383.3,387.5,370.1,374.3,223049.0
2000-03-22,383.0,400.0,380.2,396.0,296878.0
2000-03-23,402.0,434.0,402.0,419.0,311774.0
2000-03-24,430.5,454.9,429.1,452.5,2262836.0
2000-03-27,448.0,490.0,430.1,440.1,326780.0
2000-03-28,420.0,443.0,415.1,425.1,265331.0
2000-03-29,433.0,435.0,420.1,433.5,148793.0
2000-03-30,432.0,432.0,405.1,407.2,189084.0
2000-03-31,405.0,445.0,401.3,443.0,187535.0
2000-04-03,450.3,458.1,434.6,435.2,186863.0
2000-04-04,438.0,455.0,435.1,453.0,228423.0
2000-04-05,439.0,454.9,413.2,417.8,242811.0
2000-04-06,426.0,445.0,422.1,445.0,158889.0
2000-04-07,445.5,445.5,430.1,441.1,211745.0
2000-04-10,439.0,453.8,439.0,449.1,151339.0
2000-04-11,445.0,445.0,433.6,434.6,211269.0
2000-04-12,438.0,441.3,432.1,438.5,76569.0
2000-04-13,430.0,437.0,429.1,429.1,258358.0
2000-04-14,428.6,437.9,420.2,425.1,126889.0
2000-04-17,400.0,405.0,386.1,394.7,95767.0
2000-04-18,407.0,412.0,382.1,390.1,171077.0
2000-04-19,409.0,409.0,389.1,392.6,98418.0
2000-04-20,387.0,403.1,387.0,402.5,43500.0
2000-04-21,402.5,405.0,397.1,400.0,167791.0
2000-04-24,394.0,397.0,382.1,388.5,62632.0
2000-04-25,388.0,393.6,387.1,388.6,86818.0
2000-04-26,400.0,415.0,396.1,407.1,157516.0
2000-04-27,407.0,423.9,400.1,408.0,160499.0
2000-04-28,421.0,428.5,417.3,427.3,124587.0
2000-05-03,432.0,441.0,432.0,434.0,107865.0
2000-05-04,432.1,434.7,429.3,432.7,84110.0
2000-05-05,434.8,437.1,427.9,433.1,44777.0
2000-05-06,438.0,441.9,436.1,440.5,60076.0
2000-05-10,440.0,442.0,429.1,431.6,117153.0
2000-05-11,439.5,439.5,419.1,427.1,63425.0
2000-05-12,430.0,432.0,416.1,424.1,67833.0
2000-05-15,420.0,420.0,412.1,416.5,57853.0
2000-05-16,423.0,440.0,419.1,436.5,2101473.0
2000-05-17,433.0,436.0,416.4,417.1,198943.0
2000-05-18,410.0,417.5,395.1,408.4,235519.0
2000-05-19,404.0,405.0,369.1,372.0,170290.0
2000-05-22,372.0,378.5,365.1,370.6,161279.0
2000-05-23,366.0,370.0,340.1,352.6,237182.0
2000-05-24,340.0,351.0,300.1,341.0,267801.0
2000-05-25,347.0,375.0,347.0,375.0,295310.0
2000-05-26,360.0,394.0,360.0,384.2,156007.0
2000-05-29,390.0,398.0,375.2,380.6,47644.0
2000-05-30,384.0,389.3,375.6,384.9,72998.0
2000-05-31,397.0,397.0,385.1,387.6,62880.0
2000-06-01,391.0,400.0,385.6,397.0,93790.0
2000-06-02,398.0,412.5,389.1,410.2,61364.0
