Date,Open,High,Low,Close,Tick_Volume
2000-10-12,1.04,1.07,1.02,1.04,774200.0
2000-10-13,1.0,1.02,1.0,1.02,746800.0
2000-10-16,1.08,1.11,1.05,1.1,682600.0
2000-10-17,1.07,1.1400000000000001,1.07,1.12,725300.0
2000-10-18,1.1,1.1,1.01,1.04,1084800.0
2000-10-19,1.07,1.1,1.05,1.09,616500.0
2000-10-20,1.12,1.18,1.12,1.17,2116900.0
2000-10-23,1.19,1.2,1.16,1.17,921400.0
2000-10-24,1.15,1.19,1.15,1.18,232300.0
2000-10-25,1.19,1.19,1.16,1.18,727400.0
2000-10-26,1.1400000000000001,1.16,1.1400000000000001,1.15,343800.0
2000-10-27,1.18,1.18,1.16,1.17,337500.0
2000-10-30,1.16,1.17,1.11,1.13,1567400.0
2000-10-31,1.1,1.13,1.1,1.12,497100.0
2000-11-01,1.15,1.16,1.1400000000000001,1.15,555600.0
2000-11-02,1.1400000000000001,1.15,1.1400000000000001,1.15,455100.0
2000-11-03,1.15,1.16,1.15,1.15,707900.0
2000-11-04,1.15,1.16,1.15,1.15,103600.0
2000-11-08,1.1400000000000001,1.15,1.12,1.13,280500.0
2000-11-09,1.1,1.12,1.08,1.1,482300.0
2000-11-10,1.08,1.11,1.08,1.08,290300.0
2000-11-13,1.06,1.06,1.03,1.05,552900.0
2000-11-14,1.06,1.08,1.05,1.07,372000.0
2000-11-15,1.08,1.08,1.05,1.05,473300.0
2000-11-16,1.05,1.06,1.05,1.05,475300.0
2000-11-17,1.05,1.07,1.05,1.06,251400.0
2000-11-20,1.05,1.06,1.04,1.04,225800.0
2000-11-21,1.02,1.03,1.01,1.01,639100.0
2000-11-22,1.0,1.01,0.95,0.97,1318800.0
2000-11-23,0.95,0.97,0.93,0.94,744800.0
2000-11-24,0.95,0.97,0.95,0.96,418200.0
2000-11-27,0.99,1.0,0.98,1.0,332900.0
2000-11-28,0.99,1.0,0.96,0.97,418300.0
2000-11-29,0.93,0.95,0.91,0.93,689100.0
2000-11-30,0.9,0.91,0.8,0.81,1223800.0
2000-12-01,0.81,0.84,0.76,0.77,1129000.0
2000-12-04,0.76,0.78,0.75,0.77,684000.0
2000-12-05,0.78,0.86,0.78,0.85,1331400.0
2000-12-06,0.9,0.93,0.86,0.88,1142300.0
2000-12-07,0.86,0.86,0.81,0.82,1822600.0
2000-12-08,0.82,0.87,0.82,0.86,1823500.0
2000-12-09,0.83,0.85,0.83,0.84,352100.0
2000-12-13,0.87,0.88,0.85,0.87,1220300.0
2000-12-14,0.86,0.86,0.83,0.84,1011700.0
2000-12-15,0.8,0.81,0.75,0.76,1851600.0
2000-12-18,0.76,0.79,0.75,0.79,877100.0
2000-12-19,0.82,0.82,0.78,0.79,805300.0
2000-12-20,0.77,0.77,0.72,0.72,969700.0
2000-12-21,0.67,0.7,0.63,0.69,1575900.0
2000-12-22,0.7,0.73,0.69,0.72,1279200.0
2000-12-25,0.74,0.74,0.73,0.73,1569900.0
2000-12-26,0.72,0.72,0.7,0.7,1411800.0
2000-12-27,0.69,0.73,0.69,0.7,1675800.0
2000-12-28,0.72,0.72,0.71,0.71,1884300.0
2001-01-03,0.68,0.68,0.64,0.66,500000.0
2001-01-04,0.69,0.71,0.68,0.69,473100.0
2001-01-05,0.7,0.71,0.7,0.7,978400.0
2001-01-09,0.7,0.71,0.7,0.71,482300.0
2001-01-10,0.73,0.73,0.72,0.73,1446700.0
2001-01-11,0.73,0.75,0.72,0.73,1125400.0
2001-01-12,0.75,0.76,0.75,0.75,1328100.0
2001-01-15,0.75,0.76,0.74,0.75,1078200.0
2001-01-16,0.76,0.78,0.75,0.76,1294900.0
2001-01-17,0.75,0.79,0.75,0.78,1340000.0
2001-01-18,0.79,0.8,0.78,0.79,1297300.0
2001-01-19,0.81,0.83,0.79,0.81,1890800.0
2001-01-22,0.8,0.8,0.78,0.78,1153500.0
2001-01-23,0.78,0.79,0.77,0.79,507500.0
2001-01-24,0.8,0.83,0.8,0.82,1426400.0
2001-01-25,0.81,0.82,0.81,0.81,3805300.0
2001-01-26,0.8,0.82,0.8,0.8,1762300.0
2001-01-29,0.82,0.82,0.77,0.77,1857700.0
2001-01-30,0.77,0.77,0.75,0.77,973100.0
2001-01-31,0.76,0.76,0.75,0.76,2161300.0
2001-02-01,0.75,0.76,0.73,0.74,1197400.0
2001-02-02,0.74,0.74,0.73,0.74,1872600.0
2001-02-05,0.71,0.74,0.71,0.74,2040800.0
2001-02-06,0.72,0.75,0.72,0.74,1043900.0
2001-02-07,0.74,0.75,0.73,0.74,547700.0
2001-02-08,0.73,0.74,0.73,0.73,800900.0
2001-02-09,0.74,0.74,0.73,0.74,518700.0
2001-02-12,0.72,0.73,0.72,0.72,718500.0
2001-02-13,0.72,0.73,0.72,0.73,1106400.0
2001-02-14,0.73,0.73,0.73,0.73,1474700.0
2001-02-15,0.74,0.79,0.74,0.78,5909900.0
2001-02-16,0.78,0.79,0.75,0.75,2050700.0
2001-02-19,0.75,0.76,0.73,0.74,603800.0
2001-02-20,0.73,0.73,0.72,0.72,730400.0
2001-02-21,0.72,0.72,0.67,0.68,1120300.0
2001-02-22,0.67,0.7,0.67,0.68,1465900.0
2001-02-23,0.68,0.68,0.66,0.67,546000.0
2001-02-26,0.67,0.69,0.67,0.69,824300.0
2001-02-27,0.7,0.71,0.67,0.68,678900.0
2001-02-28,0.66,0.68,0.66,0.67,465300.0
2001-03-01,0.66,0.7,0.65,0.69,1559100.0
2001-03-02,0.69,0.71,0.69,0.7,2082600.0
2001-03-05,0.71,0.75,0.71,0.75,2119300.0
2001-03-06,0.75,0.8,0.75,0.79,3590400.0
2001-03-07,0.79,0.84,0.78,0.83,2266200.0
2001-03-11,0.8,0.81,0.79,0.8,735600.0
2001-03-12,0.78,0.8,0.78,0.78,1072300.0
2001-03-13,0.75,0.78,0.75,0.78,1588400.0
2001-03-14,0.79,0.83,0.79,0.82,6451700.0
2001-03-15,0.83,0.91,0.83,0.91,4033100.0
2001-03-16,0.92,1.04,0.92,0.96,6113800.0
2001-03-19,0.92,1.0,0.92,0.94,2868100.0
2001-03-20,0.97,0.98,0.95,0.95,3135300.0
2001-03-21,0.94,0.94,0.92,0.92,1179100.0
2001-03-22,0.89,0.92,0.89,0.91,735000.0
2001-03-23,0.92,0.95,0.92,0.93,938300.0
2001-03-26,0.93,0.94,0.92,0.92,580200.0
2001-03-27,0.92,0.92,0.89,0.92,217700.0
2001-03-28,0.92,0.93,0.91,0.92,550700.0
2001-03-29,0.89,0.9,0.89,0.9,1438100.0
2001-03-30,0.9,0.94,0.9,0.94,1313900.0
2001-04-02,0.93,0.97,0.93,0.95,4947700.0
2001-04-03,0.93,0.93,0.93,0.93,896600.0
2001-04-04,0.91,0.93,0.9,0.92,1997300.0
2001-04-05,0.94,0.98,0.94,0.97,1635200.0
2001-04-06,0.97,0.99,0.94,0.95,1183000.0
2001-04-09,0.93,0.95,0.93,0.94,730400.0
2001-04-10,0.94,0.97,0.94,0.96,1352700.0
2001-04-11,0.97,1.02,0.97,1.01,2416800.0
2001-04-12,1.01,1.03,1.01,1.01,758700.0
2001-04-13,1.01,1.02,1.01,1.02,367100.0
2001-04-16,1.0,1.02,1.0,1.0,371100.0
2001-04-17,1.0,1.03,1.0,1.03,1190900.0
2001-04-18,1.03,1.11,1.03,1.08,2647300.0
2001-04-19,1.12,1.12,1.07,1.07,2517700.0
2001-04-20,1.07,1.07,1.03,1.04,1482000.0
2001-04-23,1.02,1.03,1.02,1.02,1235400.0
2001-04-24,1.02,1.04,1.02,1.04,646500.0
2001-04-25,1.03,1.03,1.03,1.03,284400.0
2001-04-26,0.99,1.08,0.99,1.07,2162200.0
2001-04-27,1.07,1.09,1.05,1.06,1939500.0
2001-04-28,1.04,1.05,1.04,1.04,531500.0
2001-05-03,1.02,1.06,1.02,1.04,315500.0
2001-05-04,1.05,1.07,1.05,1.06,1386300.0
2001-05-07,1.08,1.08,1.07,1.07,841700.0
2001-05-08,1.06,1.08,1.06,1.06,514100.0
2001-05-10,1.07,1.08,1.07,1.07,940600.0
2001-05-11,1.05,1.06,1.05,1.05,996300.0
2001-05-14,1.05,1.05,1.05,1.05,529900.0
2001-05-15,1.05,1.07,1.05,1.06,152700.0
2001-05-16,1.07,1.07,1.07,1.07,424000.0
2001-05-17,1.07,1.08,1.07,1.07,1048700.0
2001-05-18,1.08,1.09,1.07,1.09,634900.0
2001-05-21,1.1,1.11,1.09,1.1,1074600.0
2001-05-22,1.09,1.11,1.09,1.1,1888200.0
2001-05-23,1.09,1.19,1.09,1.17,4126400.0
2001-05-24,1.15,1.2,1.1400000000000001,1.15,3710900.0
2001-05-25,1.16,1.16,1.13,1.13,1537500.0
2001-05-28,1.09,1.1,1.06,1.09,2759900.0
2001-05-29,1.09,1.1,1.07,1.08,548700.0
2001-05-30,1.07,1.1,1.06,1.07,1167600.0
2001-05-31,1.06,1.09,1.06,1.07,726200.0
2001-06-01,1.07,1.1,1.07,1.09,716600.0
2001-06-04,1.09,1.12,1.09,1.11,2394900.0
2001-06-05,1.11,1.16,1.11,1.15,2636200.0
2001-06-06,1.15,1.16,1.1400000000000001,1.1400000000000001,1531100.0
2001-06-07,1.13,1.1400000000000001,1.11,1.12,1638400.0
2001-06-08,1.11,1.13,1.11,1.11,2291400.0
2001-06-09,1.11,1.11,1.11,1.11,566800.0
2001-06-13,1.1,1.13,1.1,1.12,1521200.0
2001-06-14,1.11,1.12,1.11,1.12,1463700.0
2001-06-15,1.11,1.13,1.11,1.13,1271300.0
2001-06-18,1.12,1.16,1.12,1.16,2072700.0
2001-06-19,1.16,1.18,1.16,1.17,2166600.0
2001-06-20,1.17,1.18,1.16,1.17,705400.0
2001-06-21,1.17,1.17,1.17,1.17,719900.0
2001-06-22,1.16,1.18,1.15,1.17,647900.0
2001-06-25,1.18,1.19,1.18,1.18,1169800.0
2001-06-26,1.18,1.19,1.15,1.15,2342600.0
2001-06-27,1.16,1.16,1.04,1.1,4275600.0
2001-06-28,1.1,1.11,1.07,1.11,2001200.0
2001-06-29,1.08,1.12,1.08,1.1,605400.0
2001-07-02,1.1,1.1,1.08,1.08,358400.0
2001-07-03,1.07,1.07,1.06,1.06,817800.0
2001-07-04,1.05,1.09,1.05,1.09,1057400.0
2001-07-05,1.08,1.11,1.08,1.08,580400.0
2001-07-06,1.09,1.09,1.06,1.06,538800.0
